"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"Interprete Inglés Avanzado (C1) sin experiencia","$599.999 - $600.000 por mes","Tiempo completo +2","","Epicus Corporate","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7QtHf2e01gya0d7zutKuC6PLVLhxqhZHj578oL-fjtEAd6kJAcz_0UL28ZA_roIfK0S6xZ3dZvYl15QiyL4NQIQIM0oCpj0b6DcqWV_av13IOAQ3ScdABq24NylsBqJmt2Hy67p-MwPzdzXF7PIQT9EdT_GYGMEKdEorMSbffpZGMMAmYqvsAs2XVgaDlc5wfD4hWKdBNXtG0vTh2YJtwqFnd9cFU_hZOdM1bUe0Opje1IIVP5TjVZlJjKsjhgfAH8Woj1jIpgQJRdhquC6ye46ivun1QxDK-yo8QksqDKIEHcJ24I-1FhK8oXvHsvQ9FnqLMToyQFFxfHawMYjolGBJYODrUBcSMLoktzTjvXwB6jfylVsKSFbxy3ZMJWANAgoPSeEf4_8Kcu6EoX5eRxkk4NJnfzoJ2EMllBRU1cWJcbcHbnf9Jby2zZOCuoJJsha2iZp7dvfRzFnJZXnKTmGxDhp5RoYWu6x7InpEUDT2xK6ZTSLAZsjTLJQjgkruWUGDgs_9hmiEdXXKhqWby4xe7FzWLF0P-Tb1lbyiCaCNnQ89BtEc6UbwxZeE_F0dTYWr6ENXvNuQe1DXCAzorhI5krpDxEFaXWVDxtKcSNg==&xkcb=SoDW-_M3StlP16wiyB0KbzkdCdPP&p=0&fvj=1&vjs=3","bec05ee1bfe1fda0","","2023-03-13T14:37:50.996Z"," 
 Somos Epicus Corporate, Empresa enfocada en la tercerización de servicios, comprometidos en superar la satisfacción y expectativas de nuestros clientes.
","cl.indeed.com/applystart?jk=bec05ee1bfe1fda0"
"AUXILIAR OPERATIVO DE ASEO","","","","TGF CLEAN","Santiago de Chile, Región Metropolitana","3,0","https://cl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8YEp21LarUbFFW4L9izIjqJHCidMmtM9igrK37i6F3Te32QREkHW-f_SHCFk3jWVz0s_7e0QC6Y4qFAuzcByUUrhtAHAUuXXTdYEArcB-r5dQgTON6Y_oBrECwhFI8Y_sm5MVKN2E-D37iMxpNVBN3WV5dKm_HgyQOE2jnHIm9eN7cpc4q31exyeIjR0IIqfr-QlHYa6qFvo_vZhJcY6f24W1Bidi0Kd6tjAs7N-_pFtXpbK-BTAWTNyH6ls7acIncSupWX6Zm9ZrnrcrxHSZrcAhVjdq5HHJdfrZvddrXctaCYLq6cuBRGyL9GzmzxCZS9r2nmvh42aRl_jlQKM58LXCgfoPmfj536G4rboO7GNsfXIqImj020_TL44W9RwOCIrTGapI4mIreeZLE3z2s7zQEatpcNTN8CY2JNRS-8JQhUiVZJvtYoPmVIgCFrjv56oMxZKu80hN-SAivB1qVSIrLXKf7rm29e_FPB5PFo6jtYbqRHOFFTyVhY97xErfkksKtPdIn6YL5KDennShnYWraW1jhMgi4jR6dOri8O6_nv0nK__vpzlTxO0LyD1HootHIs951w==&xkcb=SoD_-_M3StlP16wiyB0IbzkdCdPP&p=1&fvj=1&vjs=3","d6621fc408b058f9","","2023-03-13T14:37:50.997Z"," 
 SE REQUIERE AUXILIARES DE LA LIMPIEZA PARA DISTINTAS COMUNAS DE L REGION METROPOLITANA....
 SI TIENES LICENCIA DE CONDUCIR, MUCHO MEJOR....
","cl.indeed.com/applystart?jk=d6621fc408b058f9"
"Promotoras supermercados","$25.000 por día","Medio tiempo","","INTEGRAL360","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/INTEGRAL360/jobs/Promotoras-supermercados-0cdee7138cb99fba?fccid=e3dcbbff947171b7&vjs=3","0cdee7138cb99fba","PostedPublicado hace 7 días","2023-03-13T14:37:50.997Z"," 
 Necesitaremos contratar promotoras para supermercados para día sábado y domingo.
 Turno dia: 10 a 14 horas y 16 a 20 horas.
 Tipo de puesto: Medio tiempo.
","cl.indeed.com/applystart?jk=0cdee7138cb99fba"
"Runner Part Time","$251.012 por mes","Medio tiempo","","Quererte Cafeteria","Las Condes, Región Metropolitana","","https://cl.indeed.com/company/Quererte-Cafeteria/jobs/Runner-part-time-81caa718661bb4b9?fccid=5f9ec230a6954e1a&vjs=3","81caa718661bb4b9","PostedPublicado hace 5 días","2023-03-13T14:37:50.998Z"," 
 Cafetería Quererte, ubicada en comuna Las Condes, busca Runner Part Time.
 En caso de ser extranjero papeles al día.
 Sueldo Líquido: $251.012 + Bono de Servicio.
","cl.indeed.com/applystart?jk=81caa718661bb4b9"
"Estudiante/ Promotor de ventas part time","$120.000 - $200.000 por mes","Medio tiempo","","Staff de promotores","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Staff-de-promotores/jobs/Estudiante-933781c6ed4d1dc3?fccid=fa117d8fc01f1e1b&vjs=3","933781c6ed4d1dc3","PostedPublicado hace 4 días","2023-03-13T14:37:50.998Z"," 
 Contratamos promotores part time para trabajar en tiempo libre, sin perjudicar sus estudios.
 Si no tienes experiencia, aca te capacitamos desde el principio y…
","cl.indeed.com/applystart?jk=933781c6ed4d1dc3"
"CAJERO Part time / fds y festivos","","","","Fantasilandia","Santiago de Chile, Región Metropolitana","3,9","https://cl.indeed.com/company/fantasilandia/jobs/Cajero-part-time-68c9382448a0d1c7?fccid=7b8449805467ea86&vjs=3","68c9382448a0d1c7","EmployerActivo hace 10 días","2023-03-13T14:37:50.999Z"," 
 Debes contar con disponibilidad para trabajar en formato part time de fines de semana y festivos con horarios de 10:00 a 20:00 horas.
","cl.indeed.com/applystart?jk=68c9382448a0d1c7"
"MEDIO TIEMPO - TRABAJA DESDE DONDE TÚ QUIERAS","$200.000 - $350.000 por mes","Medio tiempo","","NeoSkin Cosmetology","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Grupo-Patio/jobs/Medio-tiempo-0575fc7a493388c4?fccid=75f71b0572df430a&vjs=3","0575fc7a493388c4","PostedPublicado hace 7 días","2023-03-13T14:37:50.999Z"," 
 Búscanos en *Instagram* como @*neoskin.cosmetology* y síguenos !!
 ¿Te gustaría ganar dinero de manera rápida por referirnos potenciales pacientes?
","cl.indeed.com/applystart?jk=0575fc7a493388c4"
"Trabajo part time estudiantes/jovenes","$120.000 - $200.000 por mes","Medio tiempo","","Staff de promotores","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Staff-de-promotores/jobs/Part-time-estudiantes-jovenes-f4ab0b90479ed3a0?fccid=fa117d8fc01f1e1b&vjs=3","f4ab0b90479ed3a0","EmployerActivo hace 2 días","2023-03-13T14:37:50.999Z"," 
 Un ambiente joven con toda la flexibilidad horaria que necesitas para complementar los estudios y el trabajo sin descuidar ninguno de los dos.
","cl.indeed.com/applystart?jk=f4ab0b90479ed3a0"
"Trabajo para estudiantes Part time tiempo libre","$182.479 - $230.000 por mes","Medio tiempo","","Staff de promotores","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/Staff-de-promotores/jobs/Estudiantes-part-time-tiempo-libre-2a6802acd3868eed?fccid=fa117d8fc01f1e1b&vjs=3","2a6802acd3868eed","EmployerActivo hace 1 día","2023-03-13T14:37:51.000Z"," 
 STAFF DE PROMOTORES TE ESTÁ BUSCANDO!!!
 Agencia con mas de 18 años de trayectoria, está en búsqueda de jóvenes y estudiantes que necesiten tener un ingreso son…
","cl.indeed.com/applystart?jk=2a6802acd3868eed"
"APOYO PART TIME 30 HRS SEMANALES","$300.000 - $450.000 por mes","Medio tiempo +1","","GIMNASIOS MAS FITNESS","Santiago de Chile, Región Metropolitana","","https://cl.indeed.com/company/GIMNASIOS-MAS-FITNESS/jobs/Apoyo-part-time-hrs-semanales-3dcd6a6fa0bdf396?fccid=432f65b318037038&vjs=3","3dcd6a6fa0bdf396","PostedPublicado hace 6 días","2023-03-13T14:37:51.008Z"," 
 Si amas la actividad física, trabajar en equipo y te apasiona el servicio a las personas ¡TE ESTAMOS BUSCANDO!
 FUNCIONES DEL APOYO DE SUCURSAL:
","cl.indeed.com/applystart?jk=3dcd6a6fa0bdf396"
